Name,Phone,Email,Category,Website,Linkedin,Facebook,Instagram,Rank,Twitter,Address,City,Zip,Google Pixel,FB Pixel,Criteo Pixel,Google Analytics,Has Schema JSON,Mobile Friendly?,Using Wordpress?,Using Shopify?,Yelp Rating,Yelp Count,FB Rating,FB Count,Google Rating,Google Count
Contractor Webmasters,(800) 775-1250,sales@firstwebmarketing.com,Upgrade,https://www.contractorwebmasters.com/,https://www.linkedin.com/company/roofingwebmasters,https://www.facebook.com/Service-Webmasters-888096821353356/,https://www.instagram.com/servicewebmasters/,,https://www.twitter.com/service_wm,3309 Winthrop Ave. suite 77,Fort Worth,76116,y,y,,y,,y,y,,,,4.6,19,5,1
"Lovejoy HVAC, LLC",(469) 617-3690,kasey@lovejoyhvac.com,Upgrade,http://www.lovejoyhvac.com/,,https://www.facebook.com/Lovejoy-HVAC-LLC-1752717418297901/,https://www.instagram.com/lovejoyhvac/,,https://www.twitter.com/LovejoyHvac,2375 Rock Ridge Road,Allen,75002,,,,y,,y,y,,,,5,14,5,8
"Premier HVAC Services, LLC",(469) 720-4539,emilyw@premierhvacservicesllc.com,Upgrade,https://www.premierhvacservicesllc.com,,https://www.facebook.com/PremierHVACServices,https://www.instagram.com/premierhvacservicesllc,,https://www.twitter.com/HvacPremier,7761 FM 741,Forney,75126,y,,,y,,y,y,,,,5,1,5,4
Eastfield College,(972) 860-7100,4social@dcccd.edu,Upgrade,http://www.eastfieldcollege.edu,,https://www.facebook.com/eastfielddcccd,https://www.instagram.com/eastfielddcccd,,https://www.twitter.com/eastfielddcccd,3737 Motley Dr,Mesquite,75150,y,,,y,,y,,,3.5,12,5,1,3.6,45
AirTex HVAC,(214) 395-6808,info@airtexhvac.com,Upgrade,http://www.airtexhvac.com,https://www.linkedin.com/,https://www.facebook.com/AirTexHVACtx,https://www.instagram.com/,,,,Garland,75040,,,,,,y,y,,,,5,1,,
"Breathe Pure Dallas - Mold Remediation, Water Damage, HVAC",(972) 278-2900,customersupport@breathepuretx.com,Upgrade,http://www.breathepuretx.com/,,https://www.facebook.com/breathepuredallas,https://www.instagram.com/breathe_pure_dallas/,,https://www.twitter.com/breathe_pure_tx,2447 Merritt Dr Ste 200,Garland,75041,,,,y,,y,,,5,4,5,5,4.4,20
Extreme Comfort Air Conditioning and Heating,(972) 234-2336,contact@extremecomfortac.com,Upgrade,https://extremecomfortac.com/,,https://www.facebook.com/ExtremeComfortAC/,https://www.instagram.com/extremecomfortac/,,https://www.twitter.com/extremecomfort,3320 Wiley Post Rd,Carrollton,75006,y,y,,y,,y,y,,,,5,15,4.7,61
Spencer Air Conditioning & Heating,(972) 446-2665,service@spencerairconditioning.com,Upgrade,http://spencerairconditioning.com/,https://www.linkedin.com/company/1841986,https://www.facebook.com/SpencerHVAC,https://www.instagram.com/spencerairconditioning/,,https://www.twitter.com/SpencerHVAC,3006 Skyway Cir S,Irving,75038,y,,,y,,y,y,,,,4.7,49,4.9,102
"Mosley Heating and Air Conditioning, LLC",(972) 748-6759,mosley.hvac@gmail.com,Upgrade,http://www.yelp.com/biz/mosley-heating-and-air-conditioning-red-oak-2,https://www.linkedin.com/company/31517,https://www.facebook.com/yelp,https://www.instagram.com/yelp,1,https://www.twitter.com/yelp,104 W Ovilla Rd. #1423,Red Oak,75154,y,y,,y,,y,,,,,,,,
Action Plus Heating & Air Conditioning,(972) 369-6291,calanis@actionphvac.com,Upgrade,http://www.actionphvac.com,https://www.linkedin.com/pub/action-plus-hvac/100/315/172,https://www.facebook.com/ActionPlusHVAC/,https://www.instagram.com/Actionplushvac/,,https://www.twitter.com/ActionPlusHVAC,,The Colony,75056,y,,,y,,y,y,,,,5,4,,
Mullins Mechanical Air Conditioning & Heating,(972) 227-8657,service@mullinsmechanical.com,Upgrade,http://www.mullinsmechanical.com,,https://www.facebook.com/MullinsMechanicalHVAC/,https://www.instagram.com/MullinsMechanicalHVAC,,https://www.twitter.com/MullinsHVAC,P.O. Box 1886,DeSoto,75134,,,,y,,y,,,,,5,13,,
Action Heating & Air Conditioning Inc,(972) 442-4335,dsbaction@aol.com,Upgrade,http://www.actionheatingair.com/,https://www.linkedin.com/company/18442526/,https://www.facebook.com/Action-Heating-Air-Conditioning-Inc-300367840029274/,https://www.instagram.com/actionhvactexas/,,https://www.twitter.com/ActionHVACTexas,121 Touchstone Rd,Wylie,75098,,,,,,y,y,,,,5,5,4.4,14
Kirk Air Conditioning Co,(214) 748-7784,kirkserv@msn.com,Upgrade,http://www.kirkairconditioning.us/,,https://www.facebook.com/Kirk-Air-Conditioning-744138362413254/,https://www.instagram.com/kirk_ac/,,https://www.twitter.com/Kirk_AC,2819 Hickory,Dallas,75226,,,,y,y,y,y,,2.5,3,5,2,3,4
Dallas Air Solutions,(469) 226-9963,service@dallasairsolutions.com,Upgrade,http://dallasairsolutions.com/,,https://www.facebook.com/dallasairsolutions,https://www.instagram.com/dallasairsolutions,,,"6100 Cedar Springs Rd,  Dallas,  TX 75235",,75235,,,,y,,y,,,,,,,1,1
TemperaturePro DFW,(469) 701-3331,tim.walker@temperaturepro.com,Upgrade,https://www.temperatureprodfw.com/,,https://www.facebook.com/temperatureprodfw/,https://www.instagram.com/temperatureprodfw/,,https://www.twitter.com/TPDallasFTW,"2081 Hutton Dr %23307,  Carrollton,  TX 75006",,23307,,,,y,,y,y,,,,,,5,18
Xtreme Air Services,(214) 329-9229,servicetoday@xtremeairservices.com,Upgrade,http://www.xtremeairservices.com,https://www.linkedin.com/company/xtremeairservices,https://www.facebook.com/XtremeAirServices/,https://www.instagram.com/xtremeairservices/,62,https://www.twitter.com/xtremeairsvcs,308 US 80 Frontage Rd,Sunnyvale,75182,y,,,y,y,y,y,,4,17,4.6,109,4.9,373
Part Advice Appliance Parts,(214) 206-3344,sales@partadvice.com,Upgrade,http://www.partadvice.com/,,https://www.facebook.com/PartAdvice,https://www.instagram.com/,,,"1352 Chemical St,  Dallas,  TX 75207",,75207,,,,y,,y,,,,,,,5,7
Truficient Energy Solutions,(214) 238-4350,info@truficient.com,Upgrade,http://www.truficient.com,https://www.linkedin.com/,https://www.facebook.com/truficient/,https://www.instagram.com/truficientenergy/,,https://www.twitter.com/truficient,808 Business Pkwy,Richardson,75081,y,y,,y,y,y,y,,5,3,5,3,5,26
THT Air Solutions,(214) 575-2323,appointments@thtairsolutions.com,Upgrade,http://thtairsolutions.com,,https://www.facebook.com/THT-Mechanical-254471268037528/,https://www.instagram.com/thtairsolutions/,,https://www.twitter.com/thtmechanical,1002 N Central Expy,Richardson,75080,y,,,y,,y,,,5,1,4.6,9,4.6,10
Hvac Professionals,(469) 324-9029,hvacprofessionals4@gmail.com,Upgrade,,,,,,,4230 lbj freeway dallas tx 75224,Addison,,,,,,,,,,,,,,,
Dallas HVAC Parts,(214) 341-0063,dallashvacparts@gmail.com,Upgrade,https://www.dallashvacparts.com/,,https://www.facebook.com/HVACparts/,,33,,9774 Skillman St,Dallas,75243,,,,y,y,y,y,,4.5,18,5,11,4.7,71
HVAC Rep Enterprises,(972) 661-9090,tysefton@hvacrepenterprises.com,Upgrade,http://www.hvacrepenterprises.com/,,,,,,,Dallas,75218,,,,,,y,,,,,,,,
Hvac & Refrigeration,(214) 730-3063,guerrerohvavandrefrigeration@gmail.com,Upgrade,,,,,,,104 Remington Dr,Waxahachie,75165,,,,,,,,,,,,,,
HVAC RNTL,(800) 595-5950,rentals@hvacrntl.com,Upgrade,http://www.hvacrntl.com,,,,,,6029 Campus Circle Drive W. Suite 100,Irving,75063,,,,y,,y,,,,,,,,
Dean HVAC,(972) 235-1487,info@dean-ac.com,Upgrade,http://www.dean-ac.com,https://www.linkedin.com/in/kirk-wilson-47383a9/,https://www.facebook.com/DeanACandHeating/,,,,2519 Eastwood Ln.,Rockwall,75032,,,,y,,y,y,,,,4.9,7,,
Tech Zone HVACR,(972) 579-8822,info@techzonehvacr.com,Upgrade,http://www.techzonehvacr.com/,,https://www.facebook.com/techzonehvacr,,,https://www.twitter.com/TechZoneHVACR,617 E 2nd St,Irving,75060,,,,,,y,y,,,,4.9,17,,
HVAC Leads Pro,(646) 233-1519,info@hvacleadspro.com,Upgrade,http://www.hvacleadspro.com,https://www.linkedin.com/company/13442253/,https://www.facebook.com/hvacleadspro/,,,https://www.twitter.com/hvacleadspro,2253 Wood Street,New York,10129,y,,,y,,y,y,,,,5,1,,
I-Temp HVAC,(214) 293-7756,itemp_hvac@hotmail.com,Upgrade,,,,,,,,Rockwall,75032,,,,,,,,,,,,,,
Bacon HVAC,(972) 627-4408,brad@baconplumbinginc.net,Upgrade,http://baconheatingandair.com/,,,,,,295 Ranch Trail,Rockwall,75032,,,,,,,,,,,,,,
Millennial Hvac,(817) 668-0173,millennialhvac@gmail.com,Upgrade,http://www.millennialhvac.com/,,,,,,6750 Locke Ave Ste 103b,Fort Worth,76116,,,,y,,y,,,,,,,5,12
Hi-Tech Led & HVAC,(214) 774-9866,info@hitechledhvac.com,Upgrade,https://hitechledhvac.com,,,,,,Trident Plaza Harry Hines Boulevard Suite A-102 Dallas,Dallas,75229,y,,,y,y,y,y,,,,,,,
HVAC - Kim Lincoln your local air conditioning guru,(972) 310-8278,kim.lincoln@nortek.com,Upgrade,,,,,,,,Dallas,75218,,,,,,,,,,,5,5,,
Ferguson Heating & Cooling,(972) 620-1661,contract@detailsuser-loggedin-notification.jsp.at,Upgrade,http://www.ferguson.com,,https://www.facebook.com/FergusonShowrooms,,17,https://www.twitter.com/ferguson_fei,10990 Petal St Ste 1000,Dallas,75238,,,,,y,y,,,,,,,,
Enertia HVAC/R,(214) 550-3458,enertiallc@gmail.com,Upgrade,https://www.enertiahvac.com/,https://www.linkedin.com/company/enertiahvacr,https://www.facebook.com/pg/EnertiaAirConditioningHeatingVentilation/reviews/,,84,https://www.twitter.com/enertiahvacr,13111 Meandering Way,Dallas,75240,y,y,,y,y,y,y,,,,,,,
Walker HVAC,(817) 801-7084,randy@walkerhvac.com,Upgrade,http://www.walkerhvac.com,,https://www.facebook.com/pages/Walker-HVAC/173671849341797,,,https://www.twitter.com/WalkerHVAC,2809 Buffalo Dr,Arlington,76013,,,,y,,,,,,,,,,
Operation Hvac-R,(972) 635-0395,operationhvacr@gmail.com,Upgrade,,,,,,,14902 Preston Road Ste 404-537,Dallas,75254,,,,,,,,,,,5,7,,
